mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.375	0	3/8	2/4	1	1	3/32		1/16	3/2		2	74	D5	5	0
1	0	3/8	3/8	0.125	3/32	15/32	2/4	1	1	1/32		1/32	1		-3	75	Eb5	5	1
2	1	1/2	1/2	1.0	0	0	2/4	1	2	1/4		1/4	1		2	74	D5	5	7
2	1	1/2	1/2	1.0	0	0	2/4	1	1	1/4		1/4	1		-1	77	F5	5	2
2	1	3/4	3/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	8
2	1	1	1	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	9
2	1	5/4	5/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	10
2	1	3/2	3/2	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		-2	82	Bb5	5	3
2	1	7/4	7/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	4
2	1	2	2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	5
2	1	9/4	9/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	6
3	2	5/2	5/2	1.0	0	0	2/4	1	2	1/4		1/4	1		-3	75	Eb5	5	16
3	2	5/2	5/2	1.0	0	0	2/4	1	1	1/4		1/4	1		1	79	G5	5	11
3	2	11/4	11/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	17
3	2	3	3	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		-3	63	Eb4	4	18
3	2	13/4	13/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		1	67	G4	4	19
3	2	7/2	7/2	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		-2	82	Bb5	5	12
3	2	15/4	15/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	13
3	2	4	4	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		-3	75	Eb5	5	14
3	2	17/4	17/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	15
4	3	9/2	9/2	0.25	0	0	2/4	1	1	1/16		1/16	1		-1	77	F5	5	20
4	3	19/4	19/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	21
4	3	5	5	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		2	50	D3	3	28
4	3	5	5	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		0	72	C5	5	22
4	3	21/4	21/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	23
4	3	11/2	11/2	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-3	51	Eb3	3	29
4	3	11/2	11/2	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		-3	75	Eb5	5	24
4	3	23/4	23/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	25
4	3	6	6	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	30
4	3	6	6	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	26
4	3	25/4	25/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	27
5	4	13/2	13/2	0.0	0	0	2/4	1	1	0	grace16	1/16	1		0	72	C5	5	31
5	4	13/2	13/2	1.0	0	0	2/4	2	1	1/4		1/4	1		-2	46	Bb2	2	40
5	4	13/2	13/2	0.25	0	0	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	32
5	4	27/4	27/4	0.25	1/16	1/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	33
5	4	7	7	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	34
5	4	29/4	29/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	35
5	4	15/2	15/2	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		2	74	D5	5	36
5	4	31/4	31/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		-3	75	Eb5	5	37
5	4	8	8	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		-1	77	F5	5	38
5	4	33/4	33/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	39
6	5	17/2	17/2	1.0	0	0	2/4	1	2	1/4		1/4	1		2	74	D5	5	46
6	5	17/2	17/2	1.0	0	0	2/4	1	1	1/4		1/4	1		-1	77	F5	5	41
6	5	35/4	35/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	47
6	5	9	9	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	48
6	5	37/4	37/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	49
6	5	19/2	19/2	0.25	1/4	1/4	2/4	1	1	1/16		1/16	1		-2	82	Bb5	5	42
6	5	39/4	39/4	0.25	5/16	5/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	43
6	5	10	10	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	44
6	5	41/4	41/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	45
