mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	0	0	3/4	2	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	0	0	3/4	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	3/4	2	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	1/2	1/2	3/4	2	1		iv7	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
6	6	0	0	3/4	2	1		V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	6	1/4	1/4	3/4	2	1		V65/III	d	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
6	6	1/2	1/2	3/4	2	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	0	0	3/4	2	1		IV/III	d	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
7	7	1/4	1/4	3/4	2	1		V(64)/III	d	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
7	7	1/2	1/2	3/4	2	1		V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	8	0	0	3/4	2	1		I/III|PAC}	d	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3
9	9	0	0	3/4	2	1		{	d	i									{		1	1				
10	10	0	0	3/4	2	1		V(64)/III	d	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
10	10	1/4	1/4	3/4	2	1		viio64/III	d	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4
11	11	0	0	3/4	2	1		V6/III	d	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
11	11	1/4	1/4	3/4	2	1		V7/III	d	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
12	12	0	0	3/4	2	1		III(94)}	d	i		III(94)	III			94			}	M	1	1	-3, -4, -2	-1	-3	-3
12	12	1/4	1/4	3/4	2	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
13	13	0	0	3/4	2	1		III6{	d	i		III6	III		6				{	M	1	1	1, -2, -3		-3	1
13	13	1/2	1/2	3/4	2	1		V7/III	d	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
14	14	0	0	3/4	2	1		V/iv	d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
14	14	1/4	1/4	3/4	2	1		#viio64/iv	d	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
14	14	1/2	1/2	3/4	2	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
15	15	0	0	3/4	2	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	1/2	1/2	3/4	2	1		iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
16	16	0	0	3/4	2	1		V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
17	17	0	0	3/4	2	1		i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
19	19	0	0	3/4	2	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
21	21	0	0	3/4	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
21	21	1/4	1/4	3/4	2	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
21	21	1/2	1/2	3/4	2	1		iv7	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
22	22	0	0	3/4	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
22	22	1/4	1/4	3/4	2	1		V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
22	22	1/2	1/2	3/4	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
23	23	0	0	3/4	2	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
23	23	1/4	1/4	3/4	2	1		V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
23	23	1/2	1/2	3/4	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
24	24	0	0	3/4	2	1		i|IAC}	d	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
